"row ID","Day of month","Month (number)","criteria_final","criteria_ozone","criteria_nitrogen_dioxide","criteria_particulate","criteria_ultraviolet","criteria_average_speed_diff","count_incidents","criteria_incidents","Mean(speed_diff)","Mean(temperature)","Mean(criteria_weather)","Mean(humidity)","criteria_pollution","criteria_final_incidents","criteria_speed_diff","criteria_final_weather"
"20/2",20,2,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",149,"risco_moderado",4,9,0,77,2,5,2,2
"21/2",21,2,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",128,"risco_moderado",5,13,0,75,2,5,2,2
"22/2",22,2,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",244,"risco_moderado",6,15,0,59,2,5,2,2
"23/2",23,2,1,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",13,"risco_moderado",2,14,0,66,2,4,1,1
"24/2",24,2,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",13,"risco_moderado",2,16,0,59,2,4,1,2
"25/2",25,2,2,"risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo","risco_baixo",158,"risco_moderado",5,16,0,59,2,5,2,2
"26/2",26,2,2,"risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo","risco_baixo",139,"risco_moderado",5,15,0,55,2,5,2,2
"27/2",27,2,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",153,"risco_moderado",5,13,0,74,2,5,2,2
"28/2",28,2,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",208,"risco_moderado",6,10,0,91,2,5,2,2
"1/3",1,3,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",141,"risco_moderado",6,11,1,94,2,5,2,3
"2/3",2,3,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",11,"risco_moderado",3,12,0,90,2,4,1,2
"3/3",3,3,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",12,"risco_moderado",2,12,0,88,2,4,1,2
"4/3",4,3,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",69,"risco_moderado",6,11,1,76,2,5,2,2
"5/3",5,3,0,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",0,"risco_muito_baixo",2,11,0,85,2,1,1,2
"28/3",28,3,0,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",0,"risco_muito_baixo",2,14,1,88,2,1,1,2
"29/3",29,3,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_alto",169,"risco_moderado",13,13,1,84,2,5,4,2
"30/3",30,3,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",48,"risco_moderado",2,14,0,65,2,5,1,1
"31/3",31,3,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",15,"risco_moderado",1,15,0,62,2,4,1,2
"1/4",1,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",78,"risco_moderado",4,13,0,76,2,5,1,2
"2/4",2,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",176,"risco_moderado",6,12,0,83,2,5,2,2
"3/4",3,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",50,"risco_moderado",2,7,0,81,2,5,1,2
"10/4",10,4,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",96,"risco_moderado",7,12,0,83,2,5,2,2
"11/4",11,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",174,"risco_moderado",5,11,0,86,2,5,2,2
"12/4",12,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",141,"risco_moderado",6,12,0,86,2,5,2,2
"13/4",13,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",41,"risco_moderado",3,12,0,91,2,5,1,2
"14/4",14,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",40,"risco_moderado",2,15,0,98,2,5,1,3
"15/4",15,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",40,"risco_moderado",2,14,0,91,2,5,1,2
"16/4",16,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_moderado",146,"risco_moderado",8,15,0,71,2,5,3,2
"17/4",17,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",163,"risco_moderado",6,12,0,83,2,5,2,2
"18/4",18,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",211,"risco_moderado",6,13,0,86,2,5,2,2
"19/4",19,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",41,"risco_moderado",3,15,0,74,2,5,1,2
"20/4",20,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",33,"risco_moderado",2,19,0,58,2,5,1,2
"21/4",21,4,1,"risco_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",7,"risco_moderado",1,18,0,63,2,3,1,2
"22/4",22,4,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_muito_baixo",16,"risco_moderado",4,13,0,91,2,4,1,2
"23/4",23,4,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",249,"risco_moderado",6,9,0,78,2,5,2,2
"24/4",24,4,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_baixo","risco_baixo",268,"risco_moderado",6,9,1,84,2,5,2,3
"25/4",25,4,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",20,"risco_moderado",3,10,0,76,2,4,1,2
"26/4",26,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",139,"risco_moderado",5,11,0,78,2,5,2,2
"27/4",27,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",19,"risco_moderado",2,13,0,84,2,4,1,2
"28/4",28,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",88,"risco_moderado",2,17,0,78,2,5,1,2
"29/4",29,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",217,"risco_moderado",5,16,0,89,2,5,2,2
"30/4",30,4,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",310,"risco_moderado",6,15,0,90,2,5,2,3
"1/5",1,5,0,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",1,"risco_baixo",1,11,0,100,2,1,1,2
"3/5",3,5,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_moderado",230,"risco_moderado",11,20,0,62,2,5,3,2
"4/5",4,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",76,"risco_moderado",3,17,0,64,2,5,1,2
"5/5",5,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",39,"risco_moderado",2,16,0,74,2,5,1,2
"6/5",6,5,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",239,"risco_moderado",5,14,0,75,2,5,2,2
"7/5",7,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",214,"risco_moderado",5,15,0,92,2,5,2,3
"8/5",8,5,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",203,"risco_moderado",5,14,0,91,2,5,2,2
"9/5",9,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",327,"risco_moderado",7,13,1,95,2,5,2,3
"10/5",10,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",347,"risco_moderado",7,15,0,92,2,5,2,3
"11/5",11,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",75,"risco_moderado",3,17,0,83,2,5,1,2
"12/5",12,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",24,"risco_moderado",1,21,0,40,2,4,1,2
